min_VGT,max_VGT,avg_VGT,rms_VGT,variance_VGT,skewness_VGT,class
6.36E-06,0.43304645,0.00149899,0.00446864,1.772E-05,61.76911491,0
1.104E-05,0.69737811,0.00212503,0.00703767,4.502E-05,63.12945204,0
8.21E-06,0.50857574,0.00186064,0.00514249,2.298E-05,64.05759502,0
7.84E-06,0.81547969,0.00230699,0.00816588,6.136E-05,62.33929945,0
5.03E-06,0.46741039,0.00144634,0.00479164,2.087E-05,66.35630741,0
6.14E-06,0.41806979,0.00140677,0.00431275,1.662E-05,62.77233572,0
1.087E-05,0.39392156,0.00149177,0.0040197,1.393E-05,64.37695623,0
7.41E-06,0.50093606,0.00147569,0.00507712,2.36E-05,69.41767143,0
3.2E-06,0.41358626,0.00140096,0.00424645,1.607E-05,64.22220885,0
1.28E-06,0.11033557,0.00058946,0.00112567,9.2E-07,75.69121854,0
8.7E-07,0.11442893,0.00063211,0.00118234,1E-06,74.42430817,0
6.13E-06,0.38800542,0.00130455,0.00397931,1.413E-05,62.62721126,0
1.195E-05,0.40372758,0.0013072,0.0041693,1.568E-05,64.01367095,0
2.55E-06,0.4625085,0.00170217,0.00464959,1.872E-05,66.13618277,0
3.44E-06,0.10152495,0.00055572,0.00104284,7.8E-07,75.43523838,0
1.75E-06,0.10036219,0.00054037,0.00102369,7.6E-07,76.25742311,0
