min_VGT,max_VGT,avg_VGT,rms_VGT,variance_VGT,skewness_VGT,class
1.835E-05,1.02215344,0.0040425,0.01037598,9.132E-05,64.35496669,0
1.183E-05,0.9547341,0.00374366,0.00971842,8.044E-05,64.5070921,0
1.67E-05,1.1043137,0.00433754,0.01117344,0.00010604,64.70470663,0
1.466E-05,1.04188187,0.00457281,0.01077307,9.515E-05,63.37943207,0
1.086E-05,0.60211903,0.00268793,0.0061177,3.02E-05,68.299119,0
5.5E-07,0.63857843,0.00191117,0.00639625,3.726E-05,74.3109927,0
4.87E-06,0.82455131,0.00332106,0.00837141,5.905E-05,65.35660146,0
5.68E-06,0.8896119,0.00376496,0.00896755,6.625E-05,68.37865856,0
3.57E-06,0.18960138,0.00098178,0.00193273,2.77E-06,73.53073813,0
5.85E-06,0.59262473,0.00184295,0.00595964,3.212E-05,73.09516962,0
8.6E-06,0.49422083,0.00181272,0.00502935,2.201E-05,68.33704915,0
2.99E-06,0.55133774,0.00187307,0.00559502,2.78E-05,71.40112088,0
7.3E-07,0.19748834,0.00109252,0.00202238,2.9E-06,77.26376609,0
8.52E-06,0.69241398,0.00298877,0.00700833,4.019E-05,67.63872892,0
2.716E-05,1.03249093,0.00407477,0.01041768,9.193E-05,65.54378843,0
1.043E-05,0.46228094,0.00177852,0.00473211,1.923E-05,66.4302081,0
1.003E-05,0.57778439,0.00250099,0.00590502,2.862E-05,68.09592702,0
1.476E-05,0.84436075,0.00372603,0.00855048,5.923E-05,69.5130873,0
1.515E-05,0.81824652,0.00336238,0.00824468,5.667E-05,67.21719213,0
1.055E-05,0.70546318,0.00314949,0.00717028,4.15E-05,68.56474752,0
1.866E-05,0.73767432,0.00307932,0.00750135,4.679E-05,65.70693623,0
2.871E-05,1.11103042,0.00497928,0.01150154,0.0001075,63.59736414,0
9.46E-06,1.00258561,0.00394765,0.01016868,8.782E-05,64.74956421,0
5.65E-06,0.76873103,0.00296429,0.00781327,5.226E-05,64.75617625,0
9.6E-07,0.51836518,0.00217942,0.00522676,2.257E-05,68.51493338,0
1.876E-05,1.03811785,0.00406981,0.0105144,9.399E-05,65.41512273,0
1.577E-05,1.07958386,0.00436809,0.01098581,0.00010161,64.64180776,0
7.27E-06,0.65692785,0.00260283,0.00660896,3.691E-05,67.63004796,0
2.313E-05,1.26514559,0.00484066,0.01282255,0.00014099,62.84381723,0
9.61E-06,1.22100978,0.00455602,0.01243549,0.00013389,62.27164352,0
1.962E-05,0.84351018,0.0034979,0.00850667,6.013E-05,68.09590801,0
7.19E-06,0.70271892,0.00290387,0.00720197,4.344E-05,65.2655914,0
5.64E-06,0.58203819,0.00242068,0.00589939,2.894E-05,66.22294279,0
1.406E-05,0.65904477,0.00272792,0.00666724,3.701E-05,67.92190331,0
8.43E-06,0.60371795,0.00255722,0.00611774,3.089E-05,67.45988944,0
